ticker,start,end,index_name
MSA,2014-09-30,2024-12-31,SP400
MSCC,2016-01-19,2018-05-31,SP400
MSCI,2014-09-30,2018-04-04,SP400
MSM,2014-09-30,2024-12-31,SP400
MTD,2014-09-30,2016-09-02,SP400
MTDR,2017-06-02,2020-06-22,SP400
MTDR,2022-04-04,2024-12-31,SP400
MTG,2020-11-13,2024-12-31,SP400
MTN,2023-09-18,2024-12-31,SP400
MTSI,2022-08-17,2024-12-31,SP400
MTX,2014-09-30,2022-09-19,SP400
MTZ,2018-11-12,2024-12-31,SP400
MUR,2017-07-26,2024-12-31,SP400
MUSA,2014-09-30,2024-12-31,SP400
NAN,2018-11-14,2020-12-01,SP400
NAN,2020-12-02,2021-08-02,SP400
NAN,2021-08-03,2022-04-05,SP400
NAN,2022-04-06,2022-11-01,SP400
NAN,2022-11-02,2023-04-04,SP400
NAN,2023-04-05,2023-10-02,SP400
NAN,2023-10-03,2024-12-31,SP400
NARI,2022-05-03,2024-04-01,SP400
NATI,2014-09-30,2023-10-12,SP400
NAVI,2018-06-05,2023-06-19,SP400
NBIX,2021-03-30,2024-12-31,SP400
NBR,2014-09-30,2018-12-10,SP400
NDSN,2014-09-30,2022-02-15,SP400
NE,2014-09-30,2017-05-16,SP400
NEOG,2020-10-07,2025-03-24,SP400
NEU,2014-09-30,2024-12-31,SP400
NFG,2014-09-30,2024-12-31,SP400
NGVT,2014-09-30,2023-06-19,SP400
NJR,2016-03-08,2024-12-31,SP400
NKTR,2019-10-03,2021-12-20,SP400
NLY,2022-09-19,2024-12-31,SP400
NNN,2014-09-30,2024-12-31,SP400
NOV,2021-09-20,2024-12-31,SP400
NOVT,2022-07-26,2024-12-31,SP400
NSA,2021-05-14,2024-12-31,SP400
NSP,2018-11-06,2024-12-31,SP400
NSR,2014-09-30,2017-08-10,SP400
NTCT,2014-09-30,2021-11-05,SP400
NUS,2017-03-02,2022-12-01,SP400
NUVA,2014-09-30,2022-12-19,SP400
NVR,2014-09-30,2019-09-26,SP400
NVST,2021-04-12,2024-12-31,SP400
NVT,2018-05-02,2024-12-31,SP400
NWE,2014-09-30,2024-12-31,SP400
NXST,2022-12-01,2024-12-31,SP400
NXT,2024-06-24,2024-12-31,SP400
NYT,2014-09-30,2024-12-31,SP400
OA,2014-09-30,2018-06-11,SP400
OAS,2018-05-01,2019-12-13,SP400
OC,2019-09-23,2024-12-31,SP400
ODFL,2014-09-30,2019-12-02,SP400
OGE,2014-09-30,2024-12-31,SP400
OGS,2014-09-30,2024-12-31,SP400
OHI,2014-09-30,2024-12-31,SP400
OI,2014-09-30,2021-03-30,SP400
OII,2014-09-30,2019-10-30,SP400
OIS,2014-09-30,2017-10-02,SP400
OKTA,2025-05-01,2024-12-31,SP400
OLED,2018-12-10,2024-12-31,SP400
OLLI,2018-06-11,2024-12-31,SP400
OLN,2014-09-30,2024-12-31,SP400
OMCL,2022-07-05,2023-09-18,SP400
OMI,2014-09-30,2018-03-19,SP400
ONB,2022-02-18,2024-12-31,SP400
ONTO,2023-10-18,2024-12-31,SP400
OPCH,2021-08-30,2024-12-31,SP400
ORA,2022-07-07,2024-12-31,SP400
ORI,2014-09-30,2024-12-31,SP400
OSK,2014-09-30,2024-12-31,SP400
OVV,2023-06-19,2024-12-31,SP400
OZK,2014-09-30,2024-12-31,SP400
OZRK,2015-05-29,2024-12-31,SP400
PACW,2014-09-30,2023-04-05,SP400
PAG,2023-08-04,2024-12-31,SP400
PAY,2014-09-30,2018-08-20,SP400
PB,2014-09-30,2024-12-31,SP400
PBF,2017-04-28,2020-09-21,SP400
PBF,2022-12-01,2024-12-31,SP400
PBH,2016-04-14,2021-01-29,SP400
PBI,2017-03-01,2019-04-03,SP400
PCH,2014-09-30,2024-12-31,SP400
PCTY,2020-04-27,2024-12-31,SP400
PDCE,2022-02-15,2023-08-08,SP400
PDCO,2018-03-19,2024-01-05,SP400
PEB,2014-09-30,2023-03-20,SP400
PEGA,2025-05-22,2024-12-31,SP400
PEN,2019-09-23,2024-12-31,SP400
PENN,2018-10-10,2021-03-22,SP400
PENN,2022-09-19,2024-06-24,SP400
PFGC,2021-09-03,2024-12-31,SP400
PGNY,2021-04-20,2024-09-23,SP400
PII,2014-09-30,2024-12-31,SP400
PK,2019-09-18,2024-12-31,SP400
PKG,2014-09-30,2017-07-26,SP400
PLCM,2014-09-30,2016-09-30,SP400
PLNT,2023-06-19,2024-12-31,SP400
PLT,2014-09-30,2019-12-10,SP400
PNFP,2017-06-19,2024-12-31,SP400
PNRA,2014-09-30,2017-07-12,SP400
POOL,2016-01-27,2020-10-07,SP400
POR,2022-06-29,2024-12-31,SP400
POST,2014-09-30,2024-12-31,SP400
POWI,2021-12-20,2024-12-31,SP400
PPC,2019-09-23,2024-12-31,SP400
PR,2023-09-18,2024-12-31,SP400
PRAH,2018-05-31,2021-07-02,SP400
PRG,2014-09-30,2022-04-06,SP400
PRGO,2021-09-20,2024-12-31,SP400
PRI,2014-09-30,2024-12-31,SP400
PRSP,2014-09-30,2021-05-07,SP400
PRXL,2014-09-30,2017-10-02,SP400
PSB,2014-09-30,2022-07-20,SP400
PSN,2024-09-23,2024-12-31,SP400
PSTG,2024-01-05,2024-12-31,SP400
PTC,2014-09-30,2021-04-20,SP400
PTEN,2014-09-30,2020-05-26,SP400
PVH,2022-09-19,2024-12-31,SP400
